"Name","DefFile","DefLine","Refs","RefsDollar","RefsAt","RefsAmp"
"VENDAS_RESUMO_TB_DATA_CALC_INDEX","resources\data\vendas_data.resource","21","1","1","0","0"
"VENDAS_RESUMO_TB_DEM_COR_INDEX","resources\data\vendas_data.resource","30","1","1","0","0"
"VENDAS_RESUMO_TB_ESPELHO_INDEX","resources\data\vendas_data.resource","33","1","1","0","0"
"VENDAS_RESUMO_TB_ESTOQUE_INDEX","resources\data\vendas_data.resource","34","1","1","0","0"
"VENDAS_RESUMO_TB_EXT_PROD_INDEX","resources\data\vendas_data.resource","32","1","1","0","0"
"VENDAS_RESUMO_TB_IMP_PAR_INDEX","resources\data\vendas_data.resource","24","1","1","0","0"
"VENDAS_RESUMO_TB_IMPOSTO_INDEX","resources\data\vendas_data.resource","26","1","1","0","0"
"VENDAS_RESUMO_TB_PROMISSORIA_INDEX","resources\data\vendas_data.resource","29","1","1","0","0"
"VENDAS_RESUMO_TB_REC_AVUL_INDEX","resources\data\vendas_data.resource","35","1","1","0","0"
"VENDAS_RESUMO_TB_RECIBO_INDEX","resources\data\vendas_data.resource","31","1","1","0","0"
"VENDAS_RESUMO_TB_RESCISAO_INDEX","resources\data\vendas_data.resource","28","1","1","0","0"
"VENDAS_RESUMO_TB_SIGN_INDEX","resources\data\vendas_data.resource","36","1","1","0","0"
"VENDAS_RESUMO_VENDA_LOCATOR","resources\data\vendas_data.resource","10","1","1","0","0"
"VENDAS_TIMEOUT_BUSCA","resources\data\vendas_data.resource","60","1","1","0","0"
"VS_TIMEOUT_CARREGAMENTO","resources\data\vs_data.resource","23","1","1","0","0"
"VS_TIMEOUT_GET","resources\data\vs_data.resource","24","1","1","0","0"
"VS_TIMEOUT_PADRAO","resources\data\vs_data.resource","22","1","1","0","0"
"acessou_contas_a_pagar","resources\apps\uauxt.resource","308","2","2","0","0"
"acessou_menu_lateral","resources\apps\uauxt.resource","413","2","2","0","0"
"address_field","resources\apps\compilador.resource","210","2","2","0","0"
"ARQUIVOS_LEGADOS_PROIBIDOS","tests\02_pipeline_smoke\01_smoke_ambiente_basico.robot","36","2","0","2","0"
"ARQUIVOS_OBRIGATORIOS","tests\02_pipeline_smoke\01_smoke_ambiente_basico.robot","21","2","0","2","0"
"btn_found","resources\apps\compilador.resource","73","2","2","0","0"
"cb1","resources\apps\visual_studio.resource","111","2","2","0","0"
"cb2","resources\apps\visual_studio.resource","114","2","2","0","0"
"cells_status","resources\apps\compilador.resource","89","2","2","0","0"
"checkbox_found","resources\apps\compilador.resource","66","2","2","0","0"
